"event";"experiment time";"system time";"system time text"
"START";0.000000000E0;1708004849.581;"2024-02-15 14:47:29.581 UTC+01:00"
"PAUSE";1.193250625E1;1708004861.513;"2024-02-15 14:47:41.513 UTC+01:00"
